date,city,temperature_celsius,humidity_percent,wind_speed_kph,weather_condition,temperature_fahrenheit
2023-01-01,New York,5.0,60.0,10.0,Sunny,41.0
2023-01-02,New York,7.886666666666667,65.0,12.0,Cloudy,46.196
2023-03-01,New York,7.0,,8.0,Rainy,44.6
2023-01-02,London,6.0,75.0,20.0,Snowy,42.8
2023-01-03,London,10.185714285714285,80.0,18.0,Cloudy,50.33428571428571
2023-01-01,Tokyo,10.0,50.0,5.0,Sunny,50.0
2023-01-02,Tokyo,12.0,55.0,6.0,Cloudy,53.6
2023-01-25,New York,7.886666666666667,51.0,20.3,Sunny,46.196
2023-01-07,New York,7.886666666666667,,17.9,Snowy,46.196
2023-01-15,London,10.185714285714285,56.0,,RAINY,50.33428571428571
2023-01-12,Tokyo,6.914285714285714,61.0,,RAINY,44.44571428571429
2023-01-25,Tokyo,6.2,,27.1,Rainy,43.16
2023-01-17,Tokyo,19.3,43.0,,RAINY,66.74000000000001
2023-01-05,London,10.185714285714285,60.0,,Rainy,50.33428571428571
2023-01-16,New York,7.886666666666667,,,Rainy,46.196
2023-01-26,Tokyo,-2.7,,,RAINY,27.14
2023-01-18,Tokyo,6.914285714285714,55.0,2.2,Cloudy,44.44571428571429
2023-01-25,New York,12.9,,5.7,Sunny,55.22
2023-07-01,London,10.185714285714285,72.0,8.1,Sunny,50.33428571428571
2023-01-17,New York,7.886666666666667,61.0,25.1,RAINY,46.196
2023-01-29,Tokyo,10.2,,,Cloudy,50.36
2023-01-21,Tokyo,6.914285714285714,44.0,3.5,RAINY,44.44571428571429
2023-01-21,Tokyo,3.4,49.0,3.5,Snowy,38.12
2023-01-10,London,10.185714285714285,46.0,,RAINY,50.33428571428571
2023-12-01,New York,7.886666666666667,,2.3,Sunny,46.196
2023-01-22,New York,13.4,,,Snowy,56.120000000000005
2023-01-29,New York,3.4,,,Snowy,38.12
2023-01-21,Tokyo,6.914285714285714,88.0,,Cloudy,44.44571428571429
2023-01-27,London,18.1,59.0,1.0,Snowy,64.58000000000001
2023-01-29,New York,9.3,,26.1,Cloudy,48.74
2023-04-01,Tokyo,6.914285714285714,76.0,6.4,Snowy,44.44571428571429
2023-01-15,New York,12.2,,16.5,RAINY,53.96
2023-01-05,London,10.185714285714285,,,RAINY,50.33428571428571
2023-01-16,Tokyo,5.8,,,Rainy,42.44
2023-01-27,New York,7.886666666666667,,17.4,Rainy,46.196
2023-01-14,Tokyo,6.914285714285714,30.0,12.7,Cloudy,44.44571428571429
2023-01-16,Tokyo,-3.7,60.0,,Rainy,25.34
2023-01-24,New York,4.8,76.0,,Rainy,40.64
2023-01-10,New York,7.886666666666667,88.0,0.8,Cloudy,46.196
2023-01-05,Tokyo,-1.7,,23.0,Cloudy,28.94
2023-06-01,London,10.185714285714285,85.0,9.3,Rainy,50.33428571428571
2023-01-25,London,10.185714285714285,,29.9,Cloudy,50.33428571428571
2023-01-01,London,10.185714285714285,,,Rainy,50.33428571428571
2023-09-01,London,10.185714285714285,,,Rainy,50.33428571428571
2023-01-11,Tokyo,6.914285714285714,,,Sunny,44.44571428571429
